Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com
18/5/2021,20.52,21.620001,20.26,21.24,21.24,59672400,339,0.042136715,0.290476881,0.099846608,0.065914454,0.834235988,0.065637758,0.163,0.090079646,0.746911504,0.138949853
19/5/2021,20.1,21.035,19.940001,20.67,20.67,45314000,114,0.062213239,0.288130823,0.090745614,0.060210526,0.849052632,0.093166667,0.174219298,0.078140351,0.747631579,0.215394737
20/5/2021,20.75,20.809999,20.280001,20.610001,20.610001,46302400,191,0.007233624,0.293754985,0.104350785,0.071104712,0.824549738,0.056704712,0.189329843,0.093748691,0.716931937,0.163391099
21/5/2021,20.84,21.16,20.469999,20.75,20.75,35372900,191,0.038294717,0.377240016,0.105460733,0.079151832,0.815382199,0.048329843,0.17734555,0.090670157,0.732005236,0.191204712
24/5/2021,21.059999,21.52,20.674999,21.219999,21.219999,46596800,180,0.020022541,0.266404723,0.082411111,0.066083333,0.8515,0.00531,0.146544444,0.079594444,0.773855556,0.113880556
25/5/2021,21.42,22.110001,21.280001,21.48,21.48,49890800,172,0.062172174,0.315307117,0.104662791,0.062523256,0.832825581,0.052936628,0.181366279,0.080465116,0.738133721,0.153419767
26/5/2021,21.58,22.24,21.49,22.120001,22.120001,42958300,160,0.062043278,0.282243489,0.13054375,0.0535,0.81595625,0.1250175,0.1924125,0.0634125,0.74416875,0.186605
27/5/2021,22.01,22.700001,21.65,22.700001,22.700001,76230500,178,0.051300774,0.291016161,0.103617978,0.065623596,0.830758427,0.075424157,0.167179775,0.08047191,0.752370787,0.14489382
28/5/2021,23,24.75,22.76,22.950001,22.950001,111846000,410,0.054188021,0.273919135,0.097214634,0.057080488,0.845721951,0.081257561,0.172612195,0.072707317,0.754682927,0.177603171
1/6/2021,23.190001,23.35,22.360001,23.059999,23.059999,52695500,124,0.04504553,0.287390432,0.119395161,0.073596774,0.806983871,0.064339516,0.182467742,0.086717742,0.730798387,0.146216935
2/6/2021,23.02,24.84,22.82,24.450001,24.450001,86473200,260,0.024245156,0.28572641,0.078153846,0.064415385,0.857442308,0.008741154,0.164219231,0.077130769,0.758634615,0.150115769
3/6/2021,24.139999,24.26,23.34,23.629999,23.629999,48164200,177,0.050730986,0.256717233,0.099830508,0.06900565,0.831163842,0.052454237,0.17959887,0.085819209,0.734570621,0.136287006
4/6/2021,23.709999,24.49,23.5,24.030001,24.030001,42537600,150,0.057660663,0.344297018,0.132393333,0.07918,0.788473333,0.079502667,0.191653333,0.092466667,0.715906667,0.162884667
7/6/2021,24,24.76,23.790001,24.459999,24.459999,49641000,125,0.049292421,0.314376886,0.105904,0.075088,0.819,0.0669392,0.152696,0.09452,0.752792,0.1297728
8/6/2021,24.85,25.23,23.93,24.379999,24.379999,53488600,192,0.048796141,0.273875706,0.081479167,0.05615625,0.862375,0.077503125,0.176145833,0.070145833,0.75375,0.192277604
9/6/2021,24.450001,24.74,24.17,24.17,24.17,36006200,121,0.084405409,0.329144925,0.120495868,0.042570248,0.836942149,0.144415702,0.22107438,0.07014876,0.70877686,0.258612397
10/6/2021,24,24.389999,23.440001,24.139999,24.139999,35482900,126,0.035601462,0.258544146,0.106134921,0.058071429,0.835801587,0.096363492,0.185150794,0.070960317,0.743888889,0.207681746
11/6/2021,24.120001,24.709999,24.030001,24.67,24.67,33113100,119,0.04477334,0.298642524,0.11605042,0.061831933,0.82210084,0.075001681,0.196151261,0.078067227,0.725806723,0.20865042
