Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi
9/7/2021,48.369999,48.919998,45.82,46.189999,46.189999,57858600,92,0.061748613,0.3332036,0.103326087,0.05323913,0.84348913,0.151170652,0.177978261,0.066184783,0.755858696,0.241066304,-1,1
12/7/2021,44.290001,46.549999,42.07,42.610001,42.610001,62986400,112,0.061992181,0.363509233,0.122133929,0.064455357,0.813410714,0.108041071,0.165767857,0.071919643,0.762276786,0.190736607,-1,1
13/7/2021,40.57,42.139999,38.700001,39.349998,39.349998,86807300,167,0.018815052,0.385051666,0.104520958,0.082035928,0.813431138,0.084085629,0.158736527,0.105730539,0.73557485,0.139950299,-1,-1
14/7/2021,38.799999,39.130001,33.240002,33.43,33.43,137830700,243,0.065237224,0.355151941,0.097032922,0.077946502,0.825024691,0.089518107,0.143127572,0.105641975,0.751255144,0.138774074,-1,-1
15/7/2021,32.200001,37.400002,32.139999,36,36,199584500,275,0.049127965,0.399453247,0.111356364,0.08024,0.808410909,0.087125818,0.161469091,0.09984,0.738647273,0.142236364,1,-1
16/7/2021,37.830002,38.549999,34.299999,34.959999,34.959999,126825700,153,0.056458515,0.324267512,0.098496732,0.069934641,0.831568627,0.063744444,0.157810458,0.097947712,0.744228758,0.091420261,-1,-1
19/7/2021,32.950001,35.34,31.15,34.619999,34.619999,112891300,160,0.037753941,0.380411144,0.099175,0.0769625,0.823875,0.089325,0.1348375,0.0867875,0.77838125,0.133959375,1,-1
20/7/2021,35.139999,44.389999,35.130001,43.09,43.09,168673400,193,0.091920306,0.352059649,0.119891192,0.05473057,0.825367876,0.125501036,0.171766839,0.07453886,0.753689119,0.182414508,1,1
21/7/2021,41.799999,46.549999,40.110001,40.779999,40.779999,158023700,214,0.092017469,0.372437515,0.124537383,0.068341121,0.807154206,0.114538318,0.183299065,0.095098131,0.721635514,0.193635514,-1,1
22/7/2021,40.16,41.740002,37.150002,37.240002,37.240002,93985900,133,0.04095071,0.379263632,0.083736842,0.097360902,0.818917293,0.034142105,0.162954887,0.130984962,0.706090226,0.101649624,-1,-1
23/7/2021,37.779999,38.400002,34.689999,36.990002,36.990002,85474800,106,0.094998396,0.292501755,0.118773585,0.061349057,0.819858491,0.130750943,0.190113208,0.08154717,0.728301887,0.244840566,-1,1
