Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
10/5/2021,702.47998,706.700012,680.27002,680.309998,680.309998,389500,48,-0.03599431,0.424842632,0.072125,0.1275,0.800375,-0.023879167,0.100520833
11/5/2021,659.580017,674.080017,647.380005,653.429993,653.429993,836300,60,-0.030080467,0.428380899,0.084283333,0.121983333,0.793666667,-0.026345,0.106583333
12/5/2021,645.440002,649.869995,616.809998,625.01001,625.01001,681300,38,0.104513161,0.459473724,0.123605263,0.060868421,0.815526316,0.190881579,0.166131579
13/5/2021,630.650024,643.98999,621.599976,629.650024,629.650024,321000,39,0.026555967,0.370876639,0.117025641,0.087025641,0.795974359,0.082441026,0.133641026
14/5/2021,637.359985,658.530029,635,649.820007,649.820007,364200,42,0.098548849,0.437534596,0.115714286,0.116071429,0.768214286,0.029430952,0.146071429
17/5/2021,651.159973,653.919983,629.210022,633.309998,633.309998,353000,34,-0.010214686,0.501823487,0.086794118,0.145735294,0.767382353,-0.176441176,0.121470588
18/5/2021,639.440002,640,627.25,628.119995,628.119995,488700,41,0.150149895,0.466754354,0.146341463,0.052170732,0.801487805,0.189219512,0.165804878
19/5/2021,616,618.48999,603.599976,616.309998,616.309998,499300,45,0.115237127,0.445980994,0.133066667,0.076577778,0.790355556,0.125893333,0.153711111
20/5/2021,620,625.780029,608.380005,609.880005,609.880005,425100,43,0.010278624,0.325401593,0.080069767,0.069,0.850883721,0.071418605,0.109627907
21/5/2021,617.849976,621.400024,597.289978,605.929993,605.929993,511800,40,0.062359919,0.330485445,0.0864,0.097375,0.8162,-0.0553475,0.119425
24/5/2021,610.890015,622.719971,608.070007,615.109985,615.109985,358200,49,0.087772092,0.430174185,0.087857143,0.074816327,0.837346939,0.031642857,0.139795918
25/5/2021,625.900024,649.070007,622.590027,638,638,612300,36,0.05550966,0.326783729,0.101166667,0.097277778,0.801611111,0.005436111,0.125083333
26/5/2021,641.900024,650,631.340027,638.599976,638.599976,409700,102,-0.006881959,0.35028827,0.114058824,0.106392157,0.77954902,0.034973529,0.137735294
27/5/2021,645,648.799988,633.080017,644.01001,644.01001,344700,108,0.04732785,0.430570531,0.112601852,0.119314815,0.768064815,-0.012475926,0.15262963
28/5/2021,644,648.849976,635,641.049988,641.049988,212300,99,0.02714804,0.425737494,0.077727273,0.080777778,0.841525253,0.038641414,0.122353535
1/6/2021,647.97998,662.700012,633.01001,636.340027,636.340027,543600,35,-0.029883014,0.405096681,0.09,0.074942857,0.835028571,0.04908,0.1228
2/6/2021,636.450012,639.809998,611.26001,623.309998,623.309998,460200,197,-0.009755988,0.386142429,0.080786802,0.105624365,0.813573604,-0.032036041,0.106304569
3/6/2021,618.450012,619.340027,604.099976,611.539978,611.539978,362700,165,0.033355177,0.389204462,0.09390303,0.081836364,0.824206061,0.024275152,0.138745455
4/6/2021,615,618.099976,602.219971,613.219971,613.219971,404000,63,0.101713975,0.395118246,0.096063492,0.084571429,0.819333333,0.070174603,0.116904762
7/6/2021,620,626.909973,614.599976,624.419983,624.419983,456600,59,0.010360258,0.391599293,0.096830508,0.093135593,0.81,0.000205085,0.121762712
8/6/2021,625.01001,634.47998,619.419983,628.830017,628.830017,391600,96,0.016034163,0.446114293,0.08996875,0.091229167,0.8188125,0.039582292,0.13221875
9/6/2021,628.830017,632.669983,609.76001,611.330017,611.330017,976700,105,0.082133108,0.373330357,0.1144,0.072390476,0.8132,0.11271619,0.145419048
10/6/2021,686.030029,714.690002,681,707.140015,707.140015,3847400,74,0.049240486,0.390421566,0.124567568,0.072202703,0.803297297,0.097547297,0.175878378
11/6/2021,715.77002,719.77002,677,682.52002,682.52002,939800,55,0.106506657,0.427379936,0.130436364,0.082127273,0.787436364,0.172478182,0.162581818
14/6/2021,679.960022,696.359985,667.530029,675.309998,675.309998,618500,50,0.085538121,0.434178544,0.11112,0.08338,0.80546,0.106098,0.15468
15/6/2021,665.98999,673,655.76001,662.349976,662.349976,433300,37,0.057013608,0.431660748,0.101540541,0.082054054,0.816378378,0.052605405,0.115972973
16/6/2021,659.419983,661,646.359985,657.77002,657.77002,482200,24,0.034046604,0.382072786,0.068916667,0.087083333,0.844041667,-0.026445833,0.111041667
17/6/2021,650.299988,668.52002,639,656.549988,656.549988,804600,49,0.072025604,0.477459744,0.090061224,0.113918367,0.796040816,0.022408163,0.125612245
18/6/2021,647.380005,675.719971,646.789978,653.419983,653.419983,768800,35,0.042652314,0.388793427,0.120485714,0.082685714,0.7968,0.154111429,0.169085714
21/6/2021,657.809998,682.530029,654.140015,680.719971,680.719971,583100,19,0.097013936,0.449778423,0.115052632,0.090263158,0.794789474,0.121847368,0.132736842
22/6/2021,680.719971,684.47998,668.690002,676.73999,676.73999,423200,23,0.022360562,0.471318621,0.119086957,0.115478261,0.765565217,0.056782609,0.152782609
23/6/2021,675.22998,691.159973,671.599976,685.450012,685.450012,313500,27,0.13276749,0.303638668,0.121296296,0.043925926,0.834777778,0.137540741,0.149814815
24/6/2021,696.469971,697.969971,674.039978,677.179993,677.179993,447000,41,0.008424628,0.343094587,0.09497561,0.078804878,0.826268293,0.096307317,0.136463415
25/6/2021,682.72998,698.919983,681.01001,690.719971,690.719971,2278900,33,0.085736468,0.455282072,0.104757576,0.10469697,0.790545455,0.017248485,0.13269697
28/6/2021,690.719971,698,682,689.369995,689.369995,428800,22,-0.025396485,0.484757481,0.123545455,0.156,0.720454545,-0.0473,0.157090909
29/6/2021,693.409973,697.450012,686,689.77002,689.77002,388400,31,0.132237932,0.449516013,0.122258065,0.088032258,0.789774194,0.041580645,0.124193548
30/6/2021,686.059998,694.359985,674.940002,679,679,349100,25,0.015678139,0.397759091,0.12428,0.09992,0.77584,0.145672,0.14212
1/7/2021,690.559998,694.98999,681.840027,690.539978,690.539978,499700,62,0.054894845,0.389779144,0.122,0.100677419,0.777387097,0.050953226,0.175016129
2/7/2021,691.940002,693.530029,673.950012,689.880005,689.880005,446300,78,0.011609759,0.404198431,0.097576923,0.105692308,0.796730769,0.012021795,0.132653846
6/7/2021,687,692.849976,675.429993,690.700012,690.700012,417600,35,0.083908056,0.521467782,0.128257143,0.085428571,0.786257143,0.220685714,0.151
7/7/2021,690.01001,724.01001,689.789978,708.359985,708.359985,779200,37,0.008201818,0.379301131,0.067378378,0.07527027,0.857297297,0.048656757,0.113918919
8/7/2021,688.02002,695,669.599976,692.969971,692.969971,547900,41,-0.074041812,0.435496193,0.080439024,0.112365854,0.807170732,-0.054407317,0.108365854
9/7/2021,701.309998,715.590027,694.080017,706.299988,706.299988,408700,44,0.058298362,0.363679386,0.101977273,0.077545455,0.820477273,0.064559091,0.131340909
12/7/2021,705.049988,720.450012,701.830017,713.52002,713.52002,332500,22,0.057024399,0.384691003,0.119863636,0.080045455,0.8,0.123377273,0.157045455
13/7/2021,712.25,718.390015,703.669983,708.330017,708.330017,294200,14,0.164370748,0.456235828,0.100642857,0.063214286,0.836214286,0.118035714,0.147
14/7/2021,715.200012,716.409973,679,680.090027,680.090027,428200,11,-0.015954878,0.369074259,0.058818182,0.068545455,0.872636364,0.019345455,0.080818182
